,지점명,지점주소
369,CU 개포대성점,서울 강남구 논현로16길 25
370,CU 보라매타운점,서울 동작구 보라매로5가길 24 나산보라매타운
371,CU 성북정릉점,서울 성북구 솔샘로5길 1
372,CU 영등포에이스점,서울 영등포구 경인로 775 에이스하이테크시티 3동 105-A
373,CU 중곡본점,서울 광진구 능동로 337-1
374,CU 면목제일점,서울 중랑구 겸재로40길 75
375,CU 성동신한점,서울 성동구 고산자로 269
376,CU 연희푸르지오점,서울 서대문구 연희로 38
377,CU 방배효점,서울 서초구 서초대로23길 106
378,CU 발산열린점,서울 강서구 마곡중앙6로 93 열린프라자 1층 108호
379,CU 도곡벚꽃길점,서울 강남구 논현로28길 6 신도곡빌딩1층
380,CU 종로교남점,서울 종로구 통일로 146
381,CU 논현신우점,서울 강남구 강남대로126길 26
382,CU 서교로점,서울 마포구 동교로 157 1층
383,CU 일원다솜점,서울 강남구 양재대로43길 6
384,CU 경동사거리점,서울 동대문구 천호대로27길 73
385,CU 방이인텍점,서울 송파구 올림픽로 374 1층
386,CU 고덕베네루체점,서울 강동구 상암로79길 88
387,CU 논현조이점,서울 강남구 논현로111길 14 덕원빌딩 1층
388,CU 응암SK점,서울 은평구 응암로 264
389,CU 구의중앙점,서울 광진구 아차산로57길 4
390,CU 상도삼성점,서울 동작구 등용로 38 상도동래미안1차아파트 상가 1층
391,CU 상계3단지점,서울 노원구 동일로 1379 다모아빌딩
392,CU 회기나무점,서울 동대문구 이문로 18
393,CU 도곡아이파크점,서울 강남구 도곡로28길 8
394,CU 쌍문사랑점,서울 도봉구 도봉로103길 10
395,CU 관악동아타운점,서울 관악구 관악로37길 15
396,CU 양재에덴동산점,서울 서초구 논현로27길 47
397,CU 노원스타점,서울 노원구 노해로79길 6-19 1층 8호
398,CU 912선유도역점,서울 영등포구 양평로 지하 124
399,CU 노원금호점,"서울 노원구 상계로5길 32 금호프라자102,103호"
400,CU 연신내제일점,서울 은평구 연서로27길 6
401,CU 신촌아이비점,서울 마포구 서강로 136
402,CU 장위퍼스트하이점,서울 성북구 한천로 713
403,CU 중랑행복점,서울 중랑구 동일로99길 11
404,CU 삼성햇살점,서울 강남구 봉은사로68길 45 영경빌딩1층
405,CU 서울백석대점,서울 서초구 효령로28길 3 RNC빌딩
406,CU 목동드림타워점,서울 양천구 목동동로 233-1
407,CU 응암와산교점,서울 은평구 불광천길 326
408,CU 반포대교점,서울 서초구 반포대로 316 씨티21오피스텔상가1층104호
409,CU 대치역점,서울 강남구 삼성로 223 초록빌딩 1층
410,CU 419사거리점,서울 강북구 삼양로139길 8
411,CU 성산미래점,서울 마포구 동교로19길 86 더제네시스빌딩
412,CU 청담자이점,서울 강남구 영동대로142길 8
413,CU 연신내삼거리점,서울 은평구 연서로32길 19
414,CU 목동오거리점,서울 양천구 신정중앙로23길 3
415,CU 상도약수점,서울 동작구 양녕로28길 4
416,CU 청파선린점,서울 용산구 청파로 247 1층
417,CU 정릉풍림점,서울 성북구 솔샘로25길 20 일대풍림아이원주상가 202-109
418,CU 금천코스모점,서울 금천구 시흥대로123길 14
419,CU 공릉그랜드점,서울 노원구 공릉로42길 25
420,CU 합정몬스터점,서울 마포구 어울마당로5길 42-5
421,CU 수유로점,서울 강북구 수유로 72-1 1층
422,CU 잠원크레신점,서울 서초구 강남대로 631
423,CU 구의솔렌시아점,서울 광진구 자양로 154
424,CU 성내제일점,서울 강동구 성안로 58
425,CU 관악예랑점,서울 관악구 난곡로24길 55
426,CU 양천향교점,서울 강서구 양천로49길 35 한림빌딩 1층
427,CU 구로오닉스점,서울 구로구 디지털로27가길 17 오닉스지식산업센터
428,CU 한남리첸시아점,서울 용산구 한남대로 60
429,CU 용두으뜸점,서울 동대문구 안암로 52
430,CU 마곡사이언스타점,서울 강서구 마곡중앙6로 42
431,CU 숭실대역점,서울 동작구 상도로 368-1
432,CU 역삼목화점,서울 강남구 선릉로107길 17
433,CU 마포자이3차점,서울 마포구 숭문길 98
434,CU 양평드림점,서울 영등포구 선유로47길 15
435,CU 상도포스코점,"서울 동작구 장승배기로10길 130 상도포스코더샵아파트 101∼122동상가비동 105,105-1호"
436,CU 성산행복점,서울 마포구 월드컵로26길 6
