,지점명,지점주소
263,스타벅스 동여의도점,서울 영등포구 여의도동 43-4 롯데캐슬 아이비 1층 122호
264,스타벅스 신당역점,서울 중구 퇴계로 385 1층
265,스타벅스 마포아크로점,서울 마포구 마포대로 68 마포 아크로타워 118호
266,스타벅스 강남대로논현R점,서울 서초구 강남대로85길 5
267,스타벅스 서울대역,서울 관악구 남부순환로 1817
268,스타벅스 양천향교역점,서울 강서구 강서로 463
269,스타벅스 갤러리아팰리스점,서울 송파구 올림픽로 212 갤리러아팰리스 1층
270,스타벅스 상암MBC점,서울 마포구 성암로 267 MBC신사옥 C1 경영센터
271,스타벅스 이촌점,서울 용산구 이촌로 276
272,스타벅스 강남GT타워점,서울 서초구 서초대로 411 GT타워
273,스타벅스 강동역점,서울 강동구 천호대로 1089
274,스타벅스 서초법원,서울 서초구 서초대로 274
275,스타벅스 황학사거리점,서울 성동구 왕십리로 410 센트라스
276,스타벅스 자양점,서울 광진구 능동로 50 이튼타워리버2차 상가 108호
277,스타벅스 방배다이치빌딩점,서울 서초구 방배로 114
278,스타벅스 신당역사거리점,서울 중구 다산로 258
279,스타벅스 신촌역점,서울 서대문구 신촌로 73
280,스타벅스 영동2교점,서울 서초구 논현로 139 대흥빌딩
281,스타벅스 상왕십리역점,서울 성동구 왕십리로 382
282,스타벅스 압구정역점,"서울 강남구 압구정로 170 관영빌딩 1층, 지하 1층"
283,스타벅스 을지로4가역점,"서울 중구 을지로 170 118,119호,202호"
284,스타벅스 코엑스몰점,서울 강남구 영동대로 513 뉴코엑스몰 103호
285,스타벅스 보라매대교점,서울 관악구 보라매로3길 23 대교눈높이보라매 센터 1층
286,스타벅스 논현역점,서울 서초구 강남대로 557
287,스타벅스 스탈릿대치R점,서울 강남구 남부순환로 2947 대원빌딩
288,스타벅스 명일이마트점,서울 강동구 동남로75길 5 명일이마트별관 주차장
289,스타벅스 선유도역점,서울 영등포구 양평로 115
290,스타벅스 목동오목로점,서울 양천구 오목로 279
291,스타벅스 여의도호성점,서울 영등포구 여의대방로65길 24 호성빌딩1층
292,스타벅스 광운대점,서울 노원구 석계로 104
293,스타벅스 강남교보타워R점,서울 서초구 강남대로 465 1층
